order_item_id,order_id,product_id,quantity,selling_price,discount_percent
1,4547,451,3,30924,42
2,2340,963,3,26814,21
3,9788,709,4,10613,33
4,6001,994,3,6600,57
5,4454,546,2,3071,61
6,6524,86,1,38524,24
7,8382,298,5,48169,62
8,1133,935,1,11666,54
9,6228,48,3,21804,30
10,9880,910,3,6429,23
11,5210,950,3,37919,23
12,5691,262,1,23570,33
13,7624,219,5,16085,7
14,8980,721,1,40041,67
15,5545,824,5,14058,47
16,8236,914,2,6221,54
17,9206,268,4,25731,47
18,9412,784,5,43568,61
19,4792,267,2,29989,7
20,4969,749,2,45840,49
21,7823,543,3,15698,51
22,8106,528,5,19891,41
23,7424,64,5,20537,55
24,2971,930,3,42639,29
25,1753,59,3,30538,67
26,6621,6,4,29354,66
27,9755,691,3,5637,47
28,9871,111,2,35565,20
29,7903,823,1,6171,19
30,3545,476,4,2528,13
31,2407,21,5,45766,47
32,6319,890,2,19584,40
33,9167,76,4,5687,44
34,3341,464,2,871,5
35,6165,577,1,33613,28
36,1067,701,3,354,39
37,1776,827,5,37707,61
38,4735,162,1,39319,7
39,5376,217,5,44255,1
40,3640,397,2,11432,67
41,653,914,1,6562,11
42,3107,468,1,39045,31
43,459,973,5,10717,58
44,6752,104,4,41422,7
45,3836,566,4,43023,27
46,6819,995,5,33277,18
47,2776,459,4,12000,39
48,1382,424,1,18272,2
49,9983,993,4,498,60
50,9739,300,4,21200,7
51,2168,65,3,23436,50
52,1169,391,5,14270,1
53,8629,387,3,20366,31
54,107,831,4,34058,7
55,102,850,2,5719,17
56,2774,136,4,36764,27
57,686,895,3,39905,12
58,1998,866,1,1650,69
59,6207,931,5,30103,25
60,9635,809,1,30412,0
61,7590,802,4,15122,66
62,1062,923,1,38303,14
63,1301,289,1,10713,54
64,9153,235,2,6170,19
65,6245,372,3,13740,17
66,9668,934,3,8865,64
67,7089,647,4,21864,18
68,7942,112,1,39766,19
69,4939,833,5,12779,49
70,2574,324,3,41835,20
71,8492,923,2,40350,41
72,8600,854,1,37387,42
73,5658,713,5,24662,42
74,2796,3,3,42665,18
75,2267,992,4,1928,27
76,2940,251,2,2516,14
77,5249,676,3,36436,64
78,2048,454,2,41118,19
79,6564,3,1,35573,26
80,2135,631,1,26592,30
81,6805,109,4,38001,54
82,7574,852,3,27070,39
83,2915,531,5,43735,62
84,3200,568,5,35469,7
85,4904,45,5,23351,55
86,9480,236,4,22004,53
87,7160,401,2,8553,48
88,9973,33,4,39439,39
89,1149,865,1,32664,32
90,2016,812,4,16393,38
91,5369,842,3,18842,41
92,4337,654,3,12194,52
93,1934,353,2,29894,57
94,4173,114,2,1359,59
95,3472,515,2,19086,66
96,3523,931,2,35880,22
97,6187,826,4,1490,41
98,8754,264,3,29391,16
99,9733,512,3,3871,54
100,4508,706,1,5580,24
101,458,914,2,6760,12
102,6304,871,4,41039,41
103,9232,775,3,8279,45
104,9079,921,5,20758,22
105,4077,221,3,21692,42
106,5720,741,4,19618,53
107,2171,528,5,22477,53
108,7935,836,3,14004,38
109,2438,620,1,27897,28
110,8965,862,1,10476,14
111,7647,207,4,17257,9
112,5988,812,4,16034,61
113,5091,995,1,28764,14
114,8657,948,1,23547,48
